Restaurant ID,Restaurant Name,Country Code,City,Address,Locality,Locality Verbose,Longitude,Latitude,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price range,Aggregate rating,Rating color,Rating text,Votes
3400025,Jahanpanah,1,Agra,"E 23, Shopping Arcade, Sadar Bazaar, Agra Cantt, Agra",Agra Cantt,"Agra Cantt, Agra",78.01154444,27.16166111,"North Indian, Mughlai",850,Indian Rupees(Rs.),No,No,No,No,3,3.9,Yellow,Good,140
3400341,Rangrezz Restaurant,1,Agra,"E-20, Shopping Arcade, Sadar Bazaar, Agra Cantt, Agra",Agra Cantt,"Agra Cantt, Agra",0,0,"North Indian, Mughlai",700,Indian Rupees(Rs.),No,No,No,No,2,3.5,Yellow,Good,71
3400005,Time2Eat - Mama Chicken,1,Agra,"Main Market, Sadar Bazaar, Agra Cantt, Agra",Agra Cantt,"Agra Cantt, Agra",78.01160797,27.16083249,North Indian,500,Indian Rupees(Rs.),No,No,No,No,2,3.6,Yellow,Good,94
3400021,Chokho Jeeman Marwari Jain Bhojanalya,1,Agra,"1/48, Delhi Gate, Station Road, Raja Mandi, Civil Lines, Agra",Civil Lines,"Civil Lines, Agra",77.99809167,27.19592778,Rajasthani,400,Indian Rupees(Rs.),No,No,No,No,2,4,Green,Very Good,87
3400017,Pinch Of Spice,1,Agra,"23/453, Opposite Sanjay Cinema, Wazipura Road, Sanjay Place, Civil Lines, Agra",Civil Lines,"Civil Lines, Agra",78.00755278,27.201725,"North Indian, Chinese, Mughlai",1000,Indian Rupees(Rs.),No,No,No,No,3,4.2,Green,Very Good,177
3400325,MoMo Cafe,1,Agra,"Courtyard by Marriott Agra, Phase 2, Fatehabad Road, Tajganj, Agra","Courtyard by Marriott Agra, Tajganj","Courtyard by Marriott Agra, Tajganj, Agra",0,0,"North Indian, European",2000,Indian Rupees(Rs.),No,No,No,No,4,4,Green,Very Good,45
3400059,Peshawri - ITC Mughal,1,Agra,"ITC Mughal, Fatehabad Road, Tajganj, Agra","ITC Mughal, Tajganj","ITC Mughal, Tajganj, Agra",78.044095,27.160934,"North Indian, Mughlai",2500,Indian Rupees(Rs.),No,No,No,No,4,4.3,Green,Very Good,133
3400060,Taj Bano - ITC Mughal,1,Agra,"ITC Mughal, Fatehabad Road, Tajganj, Agra","ITC Mughal, Tajganj","ITC Mughal, Tajganj, Agra",78.044095,27.160934,Mughlai,2500,Indian Rupees(Rs.),No,No,No,No,4,4,Green,Very Good,41
3400348,G Thal,1,Agra,"3/20, KPS Tower, Near Tulsi Talkies, Bypass Road, Khandari, Agra",Khandari,"Khandari, Agra",0,0,"Rajasthani, Gujarati, Mughlai",800,Indian Rupees(Rs.),No,No,No,No,3,3.6,Yellow,Good,59
3400072,Dawat-e-Nawab - Radisson Blu,1,Agra,"Radisson Blu, Taj East Gate Road, Tajganj, Agra","Radisson Blu, Tajganj","Radisson Blu, Tajganj, Agra",78.057044,27.163303,"North Indian, Mughlai",3600,Indian Rupees(Rs.),No,No,No,No,4,3.8,Yellow,Good,46
3400073,The Latitude - Radisson Blu,1,Agra,"Radisson Blu, Taj East Gate Road, Tajganj, Agra","Radisson Blu, Tajganj","Radisson Blu, Tajganj, Agra",78.057044,27.163303,"North Indian, Chinese, Continental",0,Indian Rupees(Rs.),No,No,No,No,1,3.9,Yellow,Good,103
3400019,Dasaprakash Restaurant,1,Agra,"Meher Cinema Complex, Gwalior Road, Rakabganj, Agra",Rakabganj,"Rakabganj, Agra",78.01505278,27.16510833,"South Indian, Desserts",550,Indian Rupees(Rs.),No,No,No,No,2,4.1,Green,Very Good,121
3400033,The Charcoal Chimney,1,Agra,"Hotel Samovar, Fatehabad Road, Tajganj, Agra",Tajganj,"Tajganj, Agra",78.04299,27.159795,"North Indian, Chinese, Continental, Mughlai",1100,Indian Rupees(Rs.),No,No,No,No,3,3.4,Orange,Average,70
3400346,Sheroes Hangout,1,Agra,"Opposite The Gateway Hotel, Fatehabad Road, Tajganj, Agra",Tajganj,"Tajganj, Agra",78.040165,27.16185,"Cafe, North Indian, Chinese",0,Indian Rupees(Rs.),No,No,No,No,1,4.9,Dark Green,Excellent,77
3400350,Bon Barbecue,1,Agra,"Parador Hotel, 3A-3B, Phase 1, Fatehabad Road, Taj Nagri, Tajganj, Agra",Tajganj,"Tajganj, Agra",0,0,"North Indian, Chinese, Continental",1500,Indian Rupees(Rs.),No,No,No,No,4,3.8,Yellow,Good,57
3400391,Chapter 1 Cafe,1,Agra,"1374 K/1375 K, 2nd floor, Dinesh Nagar, Fatehbad Road, Tajganj, Agra",Tajganj,"Tajganj, Agra",0,0,"Cafe, Italian, Mexican, North Indian, Continental",0,Indian Rupees(Rs.),No,No,No,No,1,3.9,Yellow,Good,98
3400016,Pind Balluchi,1,Agra,"Opposite Saga Emporium, Fatehabad Road, Tajganj, Agra",Tajganj,"Tajganj, Agra",78.04725,27.15777222,"North Indian, Mughlai",900,Indian Rupees(Rs.),No,No,No,No,3,3.7,Yellow,Good,175
3400105,Pizza Hut,1,Agra,"8, Handicraft Nagar, Fatehabad Road, Tajganj, Agra",Tajganj,"Tajganj, Agra",78.03471389,27.16169444,"Italian, Pizza",700,Indian Rupees(Rs.),No,No,No,No,2,4.4,Green,Very Good,134
3400326,Tea'se Me - Rooftop Tea Boutique,1,Agra,"Near Purani Mandi Crossing,Fatehabad Road, Tajganj, Agra",Tajganj,"Tajganj, Agra",0,0,"Chinese, Italian, Continental, North Indian",1000,Indian Rupees(Rs.),No,No,No,No,3,4.2,Green,Very Good,166
3400392,Thaaliwala,1,Agra,"Next To ITC Mughal Hotel, Fatehabad Road, Tajganj, Agra",Tajganj,"Tajganj, Agra",78.045359,27.158822,"North Indian, Fast Food",700,Indian Rupees(Rs.),No,No,No,No,2,4.1,Green,Very Good,168
111895,650 - The Global Kitchen,1,Ahmedabad,"Shreekunj Mandapam, Beside Golden Tulip Bunglows & Tulip Citadel, Manekbaug, Ambavadi, Ahmedabad",Ambavadi,"Ambavadi, Ahmedabad",72.5375741,23.01045111,"Chinese, Italian, North Indian, Mexican, Mediterranean, Thai",900,Indian Rupees(Rs.),No,No,No,No,3,4.2,Green,Very Good,1582
110502,Patang - The Revolving Restaurant,1,Ahmedabad,"Chinubhai Tower, Nehru Bridge Corner, Ashram Road, Ahmedabad",Ashram Road,"Ashram Road, Ahmedabad",72.572009,23.0261651,"Continental, Chinese, North Indian",1800,Indian Rupees(Rs.),No,No,No,No,4,3.7,Yellow,Good,1315
18396250,Huber & Holly,1,Ahmedabad,"7 B, Circle  B, Opposite Rajpath Club, Sarkhej, Gandhinagar Highway, Bodakdev, Ahmedabad",Bodakdev,"Bodakdev, Ahmedabad",72.5123947,23.0383109,"Ice Cream, Desserts, Continental",300,Indian Rupees(Rs.),No,Yes,No,No,1,4.5,Dark Green,Excellent,217
113702,@Mango,1,Ahmedabad,"Opposite Sindhu Bhawan, Bodakdev, Ahmedabad",Bodakdev,"Bodakdev, Ahmedabad",72.5017644,23.0401633,"North Indian, Continental, Mexican, Italian",800,Indian Rupees(Rs.),No,No,No,No,3,4.1,Green,Very Good,769
113433,Fozzie's Pizzaiolo,1,Ahmedabad,"Ground Floor, Maruti Crystal, Opposite Rajpath Club, Service Road, Bodakdev, Ahmedabad",Bodakdev,"Bodakdev, Ahmedabad",72.5098065,23.0330688,"Pizza, Italian, Beverages, Desserts",900,Indian Rupees(Rs.),No,Yes,No,No,3,4.3,Green,Very Good,731
18438909,La Pino'z Pizza,1,Ahmedabad,"Shop 10,  Circle B, Nyay Marg, Bodakdev, Ahmedabad",Bodakdev,"Bodakdev, Ahmedabad",72.5124872,23.0382314,"Pizza, Italian",500,Indian Rupees(Rs.),No,Yes,No,No,2,4.4,Green,Very Good,113
18143128,Mocha,1,Ahmedabad,"6-9, Ground Floor, Devashish Business Park, Opposite Krishna Complex, Bodakdev, Ahmedabad",Bodakdev,"Bodakdev, Ahmedabad",72.511307,23.0318508,"Cafe, Continental, Desserts",1000,Indian Rupees(Rs.),No,Yes,No,No,3,4.4,Green,Very Good,944
18438944,Blue -  Rooftop Cafe Restaurant Bistro,1,Ahmedabad,"10th Floor, Balaji Heights Buliding, Behind Tanishq Showroom, C G Road, Ahmedabad",C G Road,"C G Road, Ahmedabad",72.5570374,23.0290619,"North Indian, Cafe, Italian, Mexican, Continental",1000,Indian Rupees(Rs.),No,Yes,No,No,3,3.8,Yellow,Good,63
110436,MoMo Cafí© - Courtyard By Marriott,1,Ahmedabad,"Courtyard By Marriott, Ramdevnagar Cross Road, Satellite, Ahmedabad","Courtyard By Marriott, Satellite","Courtyard By Marriott, Satellite, Ahmedabad",72.5115815,23.027929,"North Indian, South Indian, Asian, Continental",1400,Indian Rupees(Rs.),No,No,No,No,3,3.6,Yellow,Good,375
18385201,Cryo Lab,1,Ahmedabad,"Ground Floor, Arjun Avenue, Opposite Samartheshwar Mahadev, Law Garden, Ahmedabad",Ellis Bridge,"Ellis Bridge, Ahmedabad",72.55998429,23.02874796,"Desserts, Ice Cream",350,Indian Rupees(Rs.),No,No,No,No,2,4.6,Dark Green,Excellent,166
110395,Swati Snacks,1,Ahmedabad,"Near Law Garden, Ellis Bridge, Ahmedabad",Ellis Bridge,"Ellis Bridge, Ahmedabad",72.55903311,23.02443364,"Fast Food, Street Food, South Indian",450,Indian Rupees(Rs.),No,No,No,No,2,4.4,Green,Very Good,697
18335583,Brick Kitchen,1,Ahmedabad,"At Five Petals Hotel & Banquets, Near Chanakyapuri Bridge, Ghatlodia, Ahmedabad",Ghatlodia,"Ghatlodia, Ahmedabad",72.5316389,23.0643038,"North Indian, Chinese, Continental",900,Indian Rupees(Rs.),No,No,No,No,3,4.3,Green,Very Good,325
110237,Kabir Restaurant,1,Ahmedabad,"JB Tower, Opposite Doordarshan Kendra, Drive In Road, Gurukul, Ahmedabad",Gurukul,"Gurukul, Ahmedabad",72.5239649,23.04850469,"North Indian, Chinese, Continental, Desserts, Fast Food, Sandwich",600,Indian Rupees(Rs.),No,Yes,No,No,2,3.8,Yellow,Good,432
113537,Puffizza,1,Ahmedabad,"103, Kairos, Opposite Mahatma Gandhi Labour Institute, Drive In Road, Gurukul, Ahmedabad",Gurukul,"Gurukul, Ahmedabad",72.53774978,23.04619268,"Italian, Fast Food",700,Indian Rupees(Rs.),No,Yes,No,No,2,4.3,Green,Very Good,744
113703,Cafe Alfresco,1,Ahmedabad,"101, Dynamic House, Vijay Cross Road, Above HDFC Bank, Opposite Child Care Hospital, Navrangpura, Ahmedabad",Navrangpura,"Navrangpura, Ahmedabad",72.5498285,23.0437235,"Cafe, Beverages, Desserts, Pizza",700,Indian Rupees(Rs.),No,Yes,No,No,2,4,Green,Very Good,404
18385186,The Cafe Baraco,1,Ahmedabad,"34, Shribhuvan Complex, Near Memnagar Fire Station, Navrangpura, Ahmedabad",Navrangpura,"Navrangpura, Ahmedabad",72.5504755,23.0443367,"Cafe, Italian",600,Indian Rupees(Rs.),No,Yes,No,No,2,4.4,Green,Very Good,317
113325,Nini's Kitchen,1,Ahmedabad,"12, First Floor, Camps Corner 2, Opposite Prahlad Nagar Garden, Prahlad Nagar, Ahmedabad",Prahlad Nagar,"Prahlad Nagar, Ahmedabad",72.5072645,23.0117723,"North Indian, Continental, Beverages, Italian, Burger, Healthy Food, Mediterranean",950,Indian Rupees(Rs.),No,Yes,No,No,3,4.5,Dark Green,Excellent,1138
111826,Yanki Sizzlers,1,Ahmedabad,"4, Ground Floor, Binori Ambit, Next to Renault Showroom, Thaltej Circle, Thaltej, Ahmedabad",Thaltej,"Thaltej, Ahmedabad",72.5181257,23.0534466,"Continental, Italian, Chinese",1200,Indian Rupees(Rs.),No,No,No,No,3,4.1,Green,Very Good,1041
110516,The Garden Cafe - The Fern,1,Ahmedabad,"The Fern, Near Sola Overbridge, S G Highway, Sola, Ahmedabad","The Fern, Sola","The Fern, Sola, Ahmedabad",72.5222172,23.0640914,"North Indian, Italian, Asian, South Indian",1200,Indian Rupees(Rs.),No,No,No,No,3,4.1,Green,Very Good,192
18371341,Mazzo,1,Ahmedabad,"27, Sunshine Villa, Sunrise Park Society, Vastrapur, Ahmedabad",Vastrapur,"Vastrapur, Ahmedabad",72.5281083,23.0418026,"Cafe, American, Continental, Armenian, Fast Food",550,Indian Rupees(Rs.),No,Yes,No,No,2,3.9,Yellow,Good,166
113570,Turquoise Villa,1,Ahmedabad,"Ground Floor, Shanay - 1, Near AMA, IIM Road, Vastrapur, Ahmedabad",Vastrapur,"Vastrapur, Ahmedabad",72.5434513,23.0285142,Continental,1200,Indian Rupees(Rs.),No,No,No,No,3,4,Green,Very Good,535
2400020,Aryan Family's Delight,1,Allahabad,"Ground Floor, Vinayak City Centre, Sardar Patel Marg, Civil Lines, Allahabad",Civil Lines,"Civil Lines, Allahabad",81.834502,25.454648,"North Indian, South Indian, Fast Food",500,Indian Rupees(Rs.),No,No,No,No,3,3.4,Orange,Average,57
2400148,Bean Here,1,Allahabad,"Vinayak Pushp, 77 Elgin Road, Near Florista, Civil Lines, Allahabad",Civil Lines,"Civil Lines, Allahabad",81.83316667,25.45343611,"Cafe, Fast Food",350,Indian Rupees(Rs.),No,No,No,No,2,3.3,Orange,Average,76
2400019,Bikanerwala,1,Allahabad,"2A, JMD Bhawan, Strachey Road, Civil Lines, Allahabad",Civil Lines,"Civil Lines, Allahabad",81.832616,25.451517,"North Indian, Street Food, Fast Food",500,Indian Rupees(Rs.),No,No,No,No,3,3.2,Orange,Average,51
2400193,Dewsis,1,Allahabad,"2, MG Marg, Opposite Hanuman Mandir, Civil Lines, Allahabad",Civil Lines,"Civil Lines, Allahabad",0,0,"North Indian, Chinese",600,Indian Rupees(Rs.),No,No,No,No,3,3.4,Orange,Average,99
2400027,Friends Forever,1,Allahabad,"13/13, Sardar Patel Marg, Civil Lines, Allahabad",Civil Lines,"Civil Lines, Allahabad",81.835585,25.457687,"North Indian, Chinese",600,Indian Rupees(Rs.),No,No,No,No,3,3.4,Orange,Average,83
17960073,Hotel Ravisha Continental,1,Allahabad,"57 A, Purshottamdas Tandon Marg, Civil Lines, Allahabad",Civil Lines,"Civil Lines, Allahabad",0,0,"North Indian, South Indian, Chinese",600,Indian Rupees(Rs.),No,No,No,No,3,3.4,Orange,Average,18
2400119,KFC,1,Allahabad,"P Square Mall, Civil Lines, Allahabad",Civil Lines,"Civil Lines, Allahabad",81.839744,25.449659,"American, Fast Food",500,Indian Rupees(Rs.),No,No,No,No,3,3.4,Orange,Average,58
2400014,McDonald's,1,Allahabad,"Shop 4, 34-B, M G Marg, Civil Lines, Allahabad",Civil Lines,"Civil Lines, Allahabad",81.834279,25.450329,Fast Food,400,Indian Rupees(Rs.),No,No,No,No,2,3.3,Orange,Average,53
2400403,Pind Balluchi,1,Allahabad,"5-A, Sardar Patel Marg, Civil Lines, Allahabad",Civil Lines,"Civil Lines, Allahabad",0,0,"North Indian, Mughlai",800,Indian Rupees(Rs.),No,No,No,No,3,3.2,Orange,Average,6
2400349,Pizza Hut,1,Allahabad,"31/31, Sardar Patel Marg, Civil Lines, Allahabad",Civil Lines,"Civil Lines, Allahabad",0,0,"Italian, Pizza",700,Indian Rupees(Rs.),No,No,No,No,3,3.4,Orange,Average,35
2400279,Subway,1,Allahabad,"207/53, Mahatma Gandhi Marg, Civil Lines, Allahabad",Civil Lines,"Civil Lines, Allahabad",0,0,"Fast Food, American, Salad, Healthy Food",400,Indian Rupees(Rs.),No,No,No,No,2,3.4,Orange,Average,32
2400017,Tandoor Restaurant,1,Allahabad,"17/33, Mahatama Gandhi Marg, Civil Lines, Allahabad",Civil Lines,"Civil Lines, Allahabad",81.860187,25.443994,"North Indian, Chinese",500,Indian Rupees(Rs.),No,No,No,No,3,3.2,Orange,Average,151
18317988,The BrewMaster,1,Allahabad,"Near Vishal Megamart, Civil Lines, Allahabad",Civil Lines,"Civil Lines, Allahabad",81.83279631,25.45164569,"North Indian, Chinese, Italian",0,Indian Rupees(Rs.),No,No,No,No,1,3.3,Orange,Average,49
2400144,The Tamarind Tree,1,Allahabad,"60 C, Thornhill Road, Civil Lines, Allahabad",Civil Lines,"Civil Lines, Allahabad",81.834841,25.459775,"South Indian, Chinese",500,Indian Rupees(Rs.),No,No,No,No,3,3.4,Orange,Average,106
2400195,Cafe El Chico,1,Allahabad,"24, Mahatma Gandhi, Civil Lines, Allahabad",Civil Lines,"Civil Lines, Allahabad",81.83616667,25.44987222,"Continental, Italian",1000,Indian Rupees(Rs.),No,No,No,No,4,3.6,Yellow,Good,59
2400052,Eat On,1,Allahabad,"Palace Compound, Near Palace Cinema, MG Marg, Civil Lines, Allahabad",Civil Lines,"Civil Lines, Allahabad",81.834236,25.450377,North Indian,200,Indian Rupees(Rs.),No,No,No,No,1,3.7,Yellow,Good,105
2400016,Hot Stuff,1,Allahabad,"21 C, Lal Bhadhur Shastri Marg, Civil Lines, Allahabad",Civil Lines,"Civil Lines, Allahabad",81.841889,25.45235,"North Indian, Fast Food",500,Indian Rupees(Rs.),No,No,No,No,3,3.5,Yellow,Good,105
2400293,Paradise,1,Allahabad,"19/35, MG Marg, Civil Lines, Allahabad",Civil Lines,"Civil Lines, Allahabad",81.83168056,25.45031667,"Desserts, Fast Food",500,Indian Rupees(Rs.),No,No,No,No,3,3.6,Yellow,Good,57
2400009,Sagar Ratna,1,Allahabad,"3/3, Near Balson Crossing, Hashimpur Road, Tagore Town, Allahabad",Tagore Town,"Tagore Town, Allahabad",81.859682,25.457116,"South Indian, North Indian, Chinese, Continental",400,Indian Rupees(Rs.),No,No,No,No,2,3.5,Yellow,Good,134
2400010,Moti Mahal Delux,1,Allahabad,"Second Floor, Vinayak City Center Mall, SP Marg, Civil Lines, Allahabad","Vinayak City Centre Mall, Civil Lines","Vinayak City Centre Mall, Civil Lines, Allahabad",81.834492,25.454697,"Mughlai, North Indian, Chinese",800,Indian Rupees(Rs.),No,No,No,No,3,3.3,Orange,Average,58
2200011,Makhan Fish and Chicken Corner,1,Amritsar,"21-A, Near Madaan Hospital, Majitha Road, Basant Nagar, Amritsar",Basant Nagar,"Basant Nagar, Amritsar",74.884359,31.64362,"North Indian, Chinese",700,Indian Rupees(Rs.),No,No,No,No,2,3.4,Orange,Average,345
2200078,Charming Chicken,1,Amritsar,"Shop 3, Opposite Nari Nikaten, Majithia Road, Near Basant Nagar, Amritsar",Basant Nagar,"Basant Nagar, Amritsar",74.884384,31.644532,North Indian,300,Indian Rupees(Rs.),No,No,No,No,1,3.9,Yellow,Good,151
18204507,Ahuja Milk Bhandar,1,Amritsar,"Dhab Khatikan, Near Hindu College, Hathi Gate, Amritsar",Hathi Gate,"Hathi Gate, Amritsar",0,0,Beverages,100,Indian Rupees(Rs.),No,No,No,No,1,4,Green,Very Good,52
2200030,Crystal Restaurant,1,Amritsar,"Crystal Chowk, Queens Road, INA Colony, Amritsar",INA Colony,"INA Colony, Amritsar",74.875878,31.635658,"North Indian, Mughlai",800,Indian Rupees(Rs.),No,No,No,No,3,3.4,Orange,Average,122
2200201,Brijwasi Chat Bhandar,1,Amritsar,"Crystal Chowk, Cooper Road, Near INA Colony",INA Colony,"INA Colony, Amritsar",74.87575556,31.63488333,Street Food,150,Indian Rupees(Rs.),No,No,No,No,1,3.6,Yellow,Good,56
2200067,Bubby Fish & Chicken Corner,1,Amritsar,"Near Crystal Chowk, Cooper Road, INA Colony, Amritsar",INA Colony,"INA Colony, Amritsar",74.875828,31.635671,North Indian,300,Indian Rupees(Rs.),No,No,No,No,1,3.5,Yellow,Good,91
2200358,Bon Gateau,1,Amritsar,"SCF 27, C Block Market, Ranjit Avenue, Amritsar",Ranjit Avenue,"Ranjit Avenue, Amritsar",0,0,"Cafe, Bakery, Fast Food",500,Indian Rupees(Rs.),No,No,No,No,2,3.4,Orange,Average,26
2200001,The Yellow Chilli,1,Amritsar,"108, GRD Towers, District Shopping Center, Ranjit Avenue, Amritsar",Ranjit Avenue,"Ranjit Avenue, Amritsar",74.86276111,31.65558889,"North Indian, Mughlai, Chinese",1200,Indian Rupees(Rs.),No,No,No,No,3,3.4,Orange,Average,98
2200033,La Roma Pizzeria,1,Amritsar,"SCO 6, District Shopping Complex, Ranjit Avenue, Amritsar",Ranjit Avenue,"Ranjit Avenue, Amritsar",74.86299167,31.65044167,"Fast Food, Italian",400,Indian Rupees(Rs.),No,No,No,No,2,3.5,Yellow,Good,111
2200283,Sakhis Watz Kukin,1,Amritsar,"M 47, Green Avenue, opp Main Park, Amritsar",Ranjit Avenue,"Ranjit Avenue, Amritsar",74.8649101,31.6466891,"North Indian, Chinese",700,Indian Rupees(Rs.),No,No,No,No,2,3.6,Yellow,Good,51
2200045,The Kulcha Land,1,Amritsar,"Opposite M.K Hotel, District Shopping Centre, Ranjit Avenue, Amritsar",Ranjit Avenue,"Ranjit Avenue, Amritsar",74.86416667,31.65319167,"North Indian, Street Food",200,Indian Rupees(Rs.),No,No,No,No,1,3.9,Yellow,Good,206
2200149,Shudh Restaurant,1,Amritsar,"Opposite Gurudwara Saragarhi, Near Dharm Singh Market Chowk, Fuwara, Town Hall, Amritsar",Town Hall,"Town Hall, Amritsar",74.87981389,31.62404722,"North Indian, South Indian, Chinese, Fast Food",600,Indian Rupees(Rs.),No,No,No,No,2,3.4,Orange,Average,44
2200043,Bade Bhai Ka Brothers' Dhaba,1,Amritsar,"Near Amritsar Municipal Corporation, Town Hall, Amritsar",Town Hall,"Town Hall, Amritsar",74.87461944,31.62394722,"North Indian, Fast Food",500,Indian Rupees(Rs.),No,No,No,No,2,3.7,Yellow,Good,94
2200044,Bharawan Da Dhaba,1,Amritsar,"Near Amritsar Municipal Corporation, Town Hall, Amritsar",Town Hall,"Town Hall, Amritsar",74.87833333,31.62615278,"North Indian, Fast Food",500,Indian Rupees(Rs.),No,No,No,No,2,3.5,Yellow,Good,461
2200132,Brothers Dhaba,1,Amritsar,"Golden Temple Out Road, Opposite Amritsar Municipal Corporation, Town Hall, Amritsar",Town Hall,"Town Hall, Amritsar",74.877666,31.625981,North Indian,500,Indian Rupees(Rs.),No,No,No,No,2,3.8,Yellow,Good,276
2200236,Brothers' Amritsari Dhaba,1,Amritsar,"Phawara Chowk, Town Hall, Amritsar",Town Hall,"Town Hall, Amritsar",74.87957778,31.62261111,North Indian,400,Indian Rupees(Rs.),No,No,No,No,2,3.8,Yellow,Good,71
2200175,Gurdas Ram Jalebi Wala,1,Amritsar,"Near Golden Temple, Town Hall, Amritsar",Town Hall,"Town Hall, Amritsar",0,0,Mithai,100,Indian Rupees(Rs.),No,No,No,No,1,4.1,Green,Very Good,104
2200000,Kesar Da Dhabha,1,Amritsar,"Near Telephone Exchange, Chowk Passian, Shastri Market, Near Town Hall, Amritsar",Town Hall,"Town Hall, Amritsar",74.873005,31.624386,North Indian,500,Indian Rupees(Rs.),No,No,No,No,2,4.1,Green,Very Good,878
2200055,Beera Chicken Corner,1,Amritsar,"Opposite Bandari Hospital, Sehaj Avenue, Majitha Road, Near White Avenue, Amritsar",White Avenue,"White Avenue, Amritsar",74.883997,31.641991,North Indian,500,Indian Rupees(Rs.),No,No,No,No,2,3.8,Yellow,Good,192
2200034,Surjit Food Plaza,1,Amritsar,"Shop 4, Nehru Shopping Complex, Lawrence Road, White Avenue, Amritsar",White Avenue,"White Avenue, Amritsar",74.877002,31.644818,North Indian,1000,Indian Rupees(Rs.),No,No,No,No,3,3.5,Yellow,Good,96
2200153,Kanha Sweets,1,Amritsar,"Shop 1, Opposite Bijli Pehalwan Mandir, Lawrence Road, White Avenue, Amritsar",White Avenue,"White Avenue, Amritsar",0,0,Fast Food,150,Indian Rupees(Rs.),No,No,No,No,1,4.1,Green,Very Good,140
2500023,Kream N Krunch,1,Aurangabad,"2, Near Akashwani Circle, Mahesh Nagar, Jalna Road, Akashwani, Aurangabad",Akashwani,"Akashwani, Aurangabad",75.34601667,19.87621944,"North Indian, Chinese, Continental, Italian",800,Indian Rupees(Rs.),No,No,No,No,3,3.6,Yellow,Good,240
2500076,Balbeer's Kitchen & Bar,1,Aurangabad,"Shendra, Near Cambridge School, Jalna Road, Chicalthana, Aurangabad",Chicalthana,"Chicalthana, Aurangabad",0,0,"Italian, Continental, Chinese, North Indian",850,Indian Rupees(Rs.),No,No,No,No,3,3.3,Orange,Average,65
2500054,Angeethi Restaurant,1,Aurangabad,"Seven Hill Flyover, Jalna Road, Vidya Nagar, CIDCO, Aurangabad",CIDCO,"CIDCO, Aurangabad",75.35394167,19.87473333,"North Indian, Chinese",600,Indian Rupees(Rs.),No,No,No,No,2,3.3,Orange,Average,63
2500134,Domino's Pizza,1,Aurangabad,"8, Upper Ground Floor, City Pride Commercial Complex, Kali Bawdi, Jalna Road, CIDCO, Aurangabad",CIDCO,"CIDCO, Aurangabad",75.340775,19.87610556,Pizza,700,Indian Rupees(Rs.),No,No,No,No,2,3.1,Orange,Average,19
2500069,Hotel Laadli,1,Aurangabad,"Goodwill Complex, Opposite Cidco Busstand, N-2, CIDCO, Aurangabad",CIDCO,"CIDCO, Aurangabad",75.3671268,19.8755223,"North Indian, South Indian",350,Indian Rupees(Rs.),No,No,No,No,2,3.4,Orange,Average,46
2500256,Indiana Veg Restaurant,1,Aurangabad,"Plot 2, Near High Court, N-3, CIDCO, Aurangabad",CIDCO,"CIDCO, Aurangabad",75.360232,19.874449,"South Indian, North Indian, Chinese, Fast Food",450,Indian Rupees(Rs.),No,No,No,No,2,3.4,Orange,Average,75
2500024,Madhuban Restaurant - Welcome Hotel Rama International,1,Aurangabad,"Welcome Hotel Rama International, Opposite High Court, CIDCO, Aurangabad",CIDCO,"CIDCO, Aurangabad",75.358888,19.875908,"North Indian, Chinese, Continental, Italian, Mexican",1800,Indian Rupees(Rs.),No,No,No,No,4,3.4,Orange,Average,94
2500075,Mauj Restaurant,1,Aurangabad,"31, Kailash Arcade, Opposite Bank of Baroda, Connaught Place, CIDCO, Aurangabad",CIDCO,"CIDCO, Aurangabad",75.36479167,19.87642778,"Italian, Fast Food, North Indian, Chinese",500,Indian Rupees(Rs.),No,No,No,No,2,3.3,Orange,Average,47
